20160822_0001_0049,309,174.6,181.8,7.3,0.52,0.34,237
20141103_0001_0002,2762,345.1,352.4,7.3,0.48,0.46,238
20141103_0001_0022,248,323.6,330.9,7.3,0.49,0.54,239
20160113_0002_0033,778,91.6,99.0,7.4,0.50,0.46,240
20160121_0001_0026,3,186.4,193.8,7.4,0.52,0.42,241
20160113_0002_0027,288,5.8,13.3,7.5,0.50,0.56,242
20160819_0002_0007,582,370.6,378.0,7.5,0.50,0.46,243
20160121_0001_0022,111,109.8,117.3,7.5,0.51,0.56,244
20160121_0001_0025,648,242.8,250.3,7.5,0.53,0.56,245
20160112_0001_0012,66,365.9,373.4,7.5,0.50,0.44,246
20160113_0002_0026,844,44.3,51.8,7.5,0.48,0.63,247
20160112_0001_0026,115,24.6,32.1,7.5,0.47,0.59,248
20160121_0001_0040,4317,6.4,13.9,7.5,0.41,0.55,249
20160819_0002_0008,3403,12.4,20.0,7.5,0.44,0.54,250
20160819_0002_0018,66,140.8,148.3,7.5,0.49,0.49,251
20160112_0001_0013,591,107.2,114.7,7.6,0.50,0.50,252
20160113_0002_0024,4019,7.5,15.1,7.6,0.46,0.60,253
20160121_0001_0039,139,12.4,20.0,7.6,0.51,0.53,254
20160822_0001_0035,3022,118.2,125.8,7.6,0.50,0.50,255
20160112_0001_0048,257,5.8,13.5,7.6,0.46,0.61,256
20141104_0001_0010,159,258.5,266.2,7.6,0.49,0.59,257
20160112_0001_0068,5,17.5,25.2,7.6,0.48,0.59,258
20160112_0001_0048,320,82.7,90.3,7.6,0.49,0.43,259
20160113_0002_0046,16,21.7,29.3,7.6,0.48,0.53,260
20160819_0002_0010,1195,371.4,379.0,7.7,0.50,0.51,261
20141103_0001_0030,329,4.4,12.0,7.7,0.44,0.60,262
20160819_0002_0001,116,128.3,136.0,7.7,0.51,0.48,263
20160822_0001_0048,1071,217.3,225.0,7.7,0.52,0.49,264
20160819_0002_0019,516,62.5,70.2,7.7,0.49,0.45,265
20141103_0001_0019,388,14.0,21.7,7.7,0.48,0.52,266
20141104_0001_0007,502,134.9,142.6,7.7,0.51,0.37,267
20160121_0001_0041,2141,15.5,23.2,7.7,0.50,0.65,268
20141103_0001_0002,485,2.6,10.3,7.8,0.38,0.79,269
20160113_0002_0068,1,28.5,36.3,7.8,0.47,0.64,270
20160112_0001_0064,22,46.1,53.9,7.8,0.50,0.50,271
20160822_0001_0047,1120,73.5,81.4,7.9,0.50,0.57,272
20160112_0001_0026,1000,39.5,47.4,7.9,0.49,0.44,273
20160113_0002_0046,163,9.6,17.5,7.9,0.46,0.55,274
20160111_0001_0031,379,28.1,36.0,7.9,0.48,0.49,275
20160822_0001_0035,3432,16.4,24.4,7.9,0.45,0.51,276
20160121_0001_0022,119,107.9,115.9,7.9,0.51,0.51,277
20160113_0002_0064,1193,53.7,61.7,7.9,0.48,0.54,278
20160822_0001_0049,483,4.5,12.5,7.9,0.48,0.47,279
20141103_0001_0026,324,175.5,183.5,8.0,0.52,0.53,280
20141103_0001_0026,4131,4.0,12.0,8.0,0.39,0.75,281
20160819_0002_0004,2998,128.2,136.3,8.1,0.50,0.47,282
20141104_0001_0010,361,10.1,18.3,8.1,0.47,0.54,283
20160112_0001_0065,5248,4.6,12.7,8.1,0.43,0.54,284
20160113_0002_0024,6847,18.1,26.2,8.1,0.49,0.61,285
20160819_0002_0005,682,3.3,11.5,8.1,0.51,0.51,286
20160113_0002_0027,254,32.8,40.9,8.1,0.51,0.56,287
20141103_0001_0002,38,260.9,269.1,8.2,0.52,0.37,288
20160822_0001_0050,1784,354.0,362.2,8.2,0.51,0.48,289
20160823_0001_0014,597,264.2,272.4,8.2,0.49,0.41,290
20160121_0001_0026,311,173.0,181.2,8.2,0.51,0.49,291
20160113_0002_0027,1798,164.1,172.3,8.2,0.50,0.48,292
20141103_0001_0024,6388,5.2,13.4,8.2,0.39,0.59,293
20141104_0001_0007,2334,140.1,148.4,8.2,0.48,0.41,294
20160111_0001_0016,6752,235.7,244.0,8.3,0.48,0.61,295
20141103_0001_0005,10,150.4,158.7,8.3,0.51,0.61,296
20160819_0002_0008,1511,196.0,204.3,8.3,0.52,0.51,297
20141103_0001_0012,2673,296.8,305.1,8.3,0.50,0.50,298
20160112_0001_0064,613,20.9,29.3,8.3,0.49,0.53,299
20141104_0001_0005,35,195.6,203.9,8.3,0.48,0.65,300
