folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
,,,x,,,,,409,429,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0031_24c3c8f0-2827-461e-980d-14cd6022f644,434,x,,,,,,76,85,,,,20,240
,,x,,,,,,115,121,,,
,,,x,,,,,90,112,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0031_24c3c8f0-2827-461e-980d-14cd6022f644,752,x,,,,,,85,128,,,,20,240
,,,x,,,,,153,211,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0035_87559a05-f5e6-4a97-baa4-dbf7d69a6c27,4132,x,,,,,,225,254,,,
,,,x,,,,,291,312,,,
,,,x,,,,,320,336,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0035_87559a05-f5e6-4a97-baa4-dbf7d69a6c27,5310,x,,,,,,358,395,,,
,,,x,,,,,399,483,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0039_5aac4cc7-8ff3-4e79-9ab7-9cda7f40c4af,5481,x,,,,,,261,302,,,,140,600
,,x,,,,,,329,344,,,
,,,x,,,,,306,325,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0041_ee382d56-0bcb-4bec-977c-e996c487e2f2,422,x,,,,,,152,193,,,,35,250
,,x,,,,,,197,222,,,
,,,x,,,,,110,117,,,
,,,x,,,,,119,145,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0042_39e4b769-cf96-4313-b838-cc7cef0f45c3,1174,x,,,,,,364,478,,,,90,770
,,x,,,,,,487,525,,,
,,x,,,,,,533,731,,,
,,,x,,,,,320,358,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0043_bfee4acc-9915-4d99-825f-1dfbaeae7712,2310,x,,,,,,277,299,,,,70,570
,,x,,,,,,384,414,,,
,,,x,,,,,208,218,,,
,,,x,,,,,226,230,,,
,,,x,,,,,244,271,,,
,,,x,,,,,310,377,,,
